date,time,software/module,type_log,Interface_Descriptor,type
14-05-2009,08:11:43,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:11:43,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,xe-#/#/#
14-05-2009,08:14:38,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:14:38,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:20:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:20:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:25:18,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:30:03,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:30:04,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:35:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:35:16,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:40:29,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:40:29,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:45:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:45:08,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:50:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:50:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,08:55:32,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,08:55:33,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:00:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:00:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:05:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:05:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:10:27,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:10:27,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:15:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:15:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:20:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:20:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:25:48,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:25:49,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:30:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:30:11,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:35:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:35:02,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:40:32,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:40:33,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:45:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:45:01,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:50:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:50:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:55:00,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:55:00,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:58:10,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:58:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,extensive
14-05-2009,09:58:12,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:58:13,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:58:13,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:58:14,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
14-05-2009,09:58:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,summary
14-05-2009,09:58:15,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,terse
14-05-2009,09:58:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,terse
14-05-2009,09:58:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,lo#
14-05-2009,09:58:19,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,media
14-05-2009,09:58:20,ifinfo:,%USER-#-IFINFO_IFD_NAME:,IFD:,|
