Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,07:45:19,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:45:19,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:50:10,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:50:10,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,07:55:25,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,07:55:26,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:00:02,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:00:02,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:05:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:05:18,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:11:39,ifinfo,#,IFINFO_IFD_NAME,IFD,ge-##/#/#
2009-05-14,08:11:39,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:40,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:40,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:40,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,08:11:41,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,08:11:41,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,08:11:42,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,08:11:42,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:42,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:43,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:43,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:11:43,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,08:14:38,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,08:14:38,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,08:20:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
