,log_no,date,time
49,58257,2009-06-06 10:27:40,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
50,58325,2009-06-06 10:28:31,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
51,58326,2009-06-06 10:28:31,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
52,58402,2009-06-06 10:29:22,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
53,58403,2009-06-06 10:29:22,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
54,58476,2009-06-06 10:31:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
55,58477,2009-06-06 10:31:03,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
56,58577,2009-06-06 10:32:50,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
57,58578,2009-06-06 10:32:50,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
58,58662,2009-06-06 10:34:31,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
59,58663,2009-06-06 10:34:31,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
60,58722,2009-06-06 10:35:20,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
61,58723,2009-06-06 10:35:20,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
62,58785,2009-06-06 10:36:10,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
63,58818,2009-06-06 10:36:57,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
64,58819,2009-06-06 10:36:57,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
65,58888,2009-06-06 10:37:46,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
66,58889,2009-06-06 10:37:46,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
67,58963,2009-06-06 10:38:37,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
68,58964,2009-06-06 10:38:37,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
69,59040,2009-06-06 10:39:24,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
70,59041,2009-06-06 10:39:24,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
71,59115,2009-06-06 10:40:12,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
72,59116,2009-06-06 10:40:12,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
73,59168,2009-06-06 10:41:27,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
74,59212,2009-06-06 10:42:23,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
75,59213,2009-06-06 10:42:23,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
76,59287,2009-06-06 10:43:15,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
77,59288,2009-06-06 10:43:15,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
78,59364,2009-06-06 10:44:07,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
79,59365,2009-06-06 10:44:07,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
80,59455,2009-06-06 10:45:51,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
81,59456,2009-06-06 10:45:51,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
82,59532,2009-06-06 10:46:37,chassisd[]: %DAEMON--JAM: Plugin installed for srxk_pic_xge PIC.
